nhgiscode,gjoin1970,gjoin1980,gjoin1990,gjoin2000,gjoin2010,gjoin2012,state,statefp,statenh,county,countyfp,countynh,tracta,name1970,name1980,name1990,name2000,name2010,name2012,r_wh_1970,r_wh_1980,r_wh_1990,r_wh_2000,r_wh_2010,r_bl_1970,r_bl_1980,r_bl_1990,r_bl_2000,r_bl_2010,r_ai_1970,r_ai_1980,r_ai_1990,r_ai_2000,r_ai_2010,r_as_1970,r_as_1980,r_as_1990,r_as_2000,r_as_2010,r_2m_2000,r_2m_2010,emp_tot_1970,emp_tot_1980,emp_tot_1990,emp_tot_2000,emp_tot_2012,emp_1970,emp_1980,emp_1990,emp_2000,emp_2012,emp_un_1970,emp_un_1980,emp_un_1990,emp_un_2000,emp_un_2012,pov_1970,pov_1980,pov_1990,pov_2000,pov_2012,pop_2012,pop_1980,pop_2000,pop_1970,pop_1990,pop_2010
G4701570000100,G47015700001,G47015700001,G47015700001,G4701570000100,G4701570000100,G4701570000100,Tennessee,47,470,Shelby County,157,1570,100,Tract    1,State: 47 County: 157 Tract: 1,Tract 1,Census Tract 1,Census Tract 1,"Census Tract 1, Shelby County, Tennessee",6.0,0.0,425.0,2030.0,3656.0,1918.0,1147.0,832.0,686.0,849.0,1.0,8.0,7.0,4.0,12.0,7.0,0.0,14.0,177.0,807.0,37.0,70.0,595.0,375.0,578.0,1889.0,3699.0,530.0,298.0,544.0,1781.0,3475.0,65.0,77.0,34.0,100.0,215.0,993.0,536.0,537.0,523.0,899.0,0.0,1155.0,2934.0,1932.0,1278.0,5394.0
G4701570000200,G47015700002,G47015700002,G47015700002,G4701570000200,G4701570000200,G4701570000200,Tennessee,47,470,Shelby County,157,1570,200,Tract    2,State: 47 County: 157 Tract: 2,Tract 2,Census Tract 2,Census Tract 2,"Census Tract 2, Shelby County, Tennessee",91.0,13.0,10.0,13.0,18.0,4135.0,2789.0,2155.0,1436.0,982.0,3.0,0.0,8.0,1.0,0.0,6.0,15.0,4.0,1.0,6.0,15.0,27.0,1293.0,780.0,721.0,369.0,371.0,1139.0,651.0,548.0,273.0,342.0,154.0,129.0,173.0,96.0,29.0,2028.0,1810.0,1300.0,925.0,292.0,0.0,2817.0,1466.0,4235.0,2177.0,1033.0
G4701570000300,G47015700003,G47015700003,G47015700003,G4701570000300,G4701570000300,G4701570000300,Tennessee,47,470,Shelby County,157,1570,300,Tract    3,State: 47 County: 157 Tract: 3,Tract 3,Census Tract 3,Census Tract 3,"Census Tract 3, Shelby County, Tennessee",311.0,99.0,60.0,28.0,7.0,5174.0,3868.0,3199.0,2053.0,1048.0,1.0,0.0,3.0,2.0,2.0,22.0,0.0,19.0,0.0,1.0,10.0,2.0,1574.0,1141.0,1077.0,545.0,609.0,1441.0,877.0,823.0,354.0,520.0,133.0,259.0,254.0,191.0,89.0,3051.0,2420.0,1975.0,1145.0,497.0,0.0,3967.0,2093.0,5508.0,3281.0,1060.0
G4701570000400,G47015700004,G47015700004,G47015700004,G4701570000400,G4701570000400,G4701570000400,Tennessee,47,470,Shelby County,157,1570,400,Tract    4,State: 47 County: 157 Tract: 4,Tract 4,Census Tract 4,Census Tract 4,"Census Tract 4, Shelby County, Tennessee",668.0,173.0,92.0,102.0,40.0,4338.0,3365.0,2767.0,2230.0,1630.0,1.0,0.0,0.0,3.0,2.0,8.0,0.0,3.0,43.0,44.0,19.0,11.0,1504.0,1099.0,1014.0,755.0,699.0,1385.0,921.0,777.0,538.0,541.0,119.0,178.0,218.0,217.0,158.0,2428.0,1718.0,1354.0,1088.0,706.0,0.0,3538.0,2397.0,5015.0,2862.0,1727.0
G4701570000500,G47015700005,G47015700005,G47015700005,G4701570000500,,,Tennessee,47,470,Shelby County,157,1570,500,Tract    5,State: 47 County: 157 Tract: 5,Tract 5,Census Tract 5,,,181.0,0.0,17.0,11.0,,1112.0,933.0,899.0,834.0,,0.0,0.0,1.0,0.0,,5.0,0.0,0.0,1.0,,6.0,,571.0,378.0,398.0,379.0,,557.0,340.0,333.0,293.0,,14.0,38.0,65.0,86.0,,429.0,298.0,415.0,227.0,,0.0,933.0,852.0,1298.0,917.0,0.0
G4701570000600,G47015700006,G47015700006,G47015700006,G4701570000600,G4701570000600,G4701570000600,Tennessee,47,470,Shelby County,157,1570,600,Tract    6,State: 47 County: 157 Tract: 6,Tract 6,Census Tract 6,Census Tract 6,"Census Tract 6, Shelby County, Tennessee",23.0,15.0,76.0,20.0,5.0,5537.0,4702.0,3837.0,2899.0,2119.0,1.0,12.0,1.0,0.0,4.0,1.0,10.0,1.0,9.0,0.0,10.0,24.0,1918.0,1608.0,1474.0,963.0,794.0,1759.0,1366.0,1069.0,818.0,557.0,159.0,242.0,405.0,145.0,237.0,2315.0,2214.0,1892.0,1088.0,1647.0,0.0,4739.0,2938.0,5562.0,3915.0,2152.0
G4701570000700,G47015700007,G47015700007,G47015700007,G4701570000700,G4701570000700,G4701570000700,Tennessee,47,470,Shelby County,157,1570,700,Tract    7,State: 47 County: 157 Tract: 7,Tract 7,Census Tract 7,Census Tract 7,"Census Tract 7, Shelby County, Tennessee",2981.0,1238.0,1046.0,629.0,347.0,4606.0,5447.0,5370.0,4890.0,4405.0,5.0,0.0,3.0,1.0,6.0,14.0,12.0,28.0,82.0,51.0,39.0,52.0,3348.0,3136.0,2998.0,2310.0,2187.0,3201.0,2795.0,2593.0,2124.0,1763.0,132.0,341.0,398.0,186.0,424.0,1551.0,1742.0,2125.0,1872.0,1875.0,0.0,6697.0,5641.0,7606.0,6447.0,4861.0
G4701570000800,G47015700008,G47015700008,G47015700008,G4701570000800,G4701570000800,G4701570000800,Tennessee,47,470,Shelby County,157,1570,800,Tract    8,State: 47 County: 157 Tract: 8,Tract 8,Census Tract 8,Census Tract 8,"Census Tract 8, Shelby County, Tennessee",201.0,42.0,28.0,20.0,16.0,5887.0,5252.0,4285.0,3385.0,2638.0,5.0,0.0,2.0,2.0,16.0,3.0,10.0,0.0,8.0,1.0,23.0,13.0,1851.0,1835.0,1680.0,1072.0,786.0,1683.0,1490.0,1374.0,889.0,614.0,168.0,345.0,306.0,183.0,172.0,2748.0,2479.0,1906.0,1617.0,1413.0,0.0,5304.0,3438.0,6096.0,4315.0,2684.0
G4701570000900,G47015700009,G47015700009,G47015700009,G4701570000900,G4701570000900,G4701570000900,Tennessee,47,470,Shelby County,157,1570,900,Tract    9,State: 47 County: 157 Tract: 9,Tract 9,Census Tract 9,Census Tract 9,"Census Tract 9, Shelby County, Tennessee",423.0,83.0,53.0,49.0,47.0,7331.0,5925.0,4632.0,3621.0,2813.0,1.0,0.0,5.0,0.0,2.0,26.0,17.0,7.0,9.0,14.0,15.0,8.0,2875.0,2246.0,2061.0,1406.0,1177.0,2631.0,1911.0,1700.0,1269.0,943.0,229.0,335.0,354.0,137.0,234.0,2592.0,2281.0,1541.0,1384.0,1310.0,0.0,6025.0,3694.0,7781.0,4697.0,2884.0
G4701570001000,G47015700010,G47015700010,G47015700010,G4701570001000,,,Tennessee,47,470,Shelby County,157,1570,1000,Tract   10,State: 47 County: 157 Tract: 10,Tract 10,Census Tract 10,,,6.0,0.0,5.0,5.0,,1263.0,1041.0,721.0,531.0,,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,1.0,,2.0,,416.0,302.0,283.0,198.0,,371.0,275.0,230.0,176.0,,45.0,27.0,53.0,22.0,,598.0,514.0,434.0,221.0,,0.0,1041.0,540.0,1269.0,727.0,0.0
